Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions,,,period,strictly
29,3,14111146518,14138288314,27141796,14055180000,32000000,-,,,,
30,1,14210742166,14246105796,35363630,14166001925,48000000,-,,,2900000611,611
30,2,12710923944,12724053222,13129278,12676930981,14000000,-,,,,
30,3,14211149314,14238289111,27139797,14155172388,32000000,-,,,,
31,1,14310741888,14346100555,35358667,14266003425,48000000,-,,,3000000333,333
31,2,12760920611,12774017259,13096648,12726947981,14000000,-,,,,
31,3,14311157129,14338291981,27134852,14255174481,32000000,-,,,,
32,1,14410740870,14446099240,35358370,14366002574,48000000,-,,,3099999315,-685
32,2,12810919314,12824049259,13129945,12776932833,14000000,-,,,,
32,3,14411156111,14438294185,27138074,14355181111,32000000,-,,,,
33,1,14510737148,14546112907,35375759,14466000481,48000000,-,,,3199995593,-4407
33,2,12860921277,12874024037,13102760,12826943555,14000000,-,,,,
33,3,14511152185,14538291870,27139685,14455181259,32000000,-,,,,
34,1,14610743370,14646101222,35357852,14566012314,48000000,-,,,3300001815,1815
34,2,12910918055,12924046462,13128407,12876935796,14000000,-,,,,
34,3,14611146944,14638287259,27140315,14555177203,32000000,-,,,,
35,1,14710743518,14746103407,35359889,14666002537,48000000,-,,,3400001963,1963
35,2,12960920574,12974021092,13100518,12926941333,14000000,-,,,,
35,3,14711147444,14738286037,27138593,14655172240,32000000,-,,,,
36,1,14810743629,14846104111,35360482,14766003129,48000000,-,,,3500002074,2074
36,2,13010917222,13024047462,13130240,12976935092,14000000,-,,,,
36,3,14811147481,14838291259,27143778,14755173425,32000000,-,,,,
37,1,14910741092,14946102944,35361852,14866004870,48000000,-,,,3599999537,-463
37,2,13060924370,13074022925,13098555,13026941592,14000000,-,,,,
37,3,14911146388,14938285444,27139056,14855173129,32000000,-,,,,
38,1,15010744259,15046104092,35359833,14966002907,48000000,-,,,3700002704,2704
38,2,13110916462,13124046870,13130408,13076937500,14000000,-,,,,
38,3,15011147981,15038287444,27139463,14955171759,32000000,-,,,,
39,1,15110737370,15146108796,35371426,15066003814,48000000,-,,,3799995815,-4185
39,2,13160924574,13174021074,13096500,13126941333,14000000,-,,,,
39,3,15111152425,15138292814,27140389,15055173629,32000000,-,,,,
40,1,15210743351,15246101703,35358352,15166008500,48000000,-,,,3900001796,1796
40,2,13210923481,13224051833,13128352,13176939481,14000000,-,,,,
40,3,15211146759,15238287796,27141037,15155177537,32000000,-,,,,
41,1,15310744685,15346104870,35360185,15266002111,48000000,-,,,4000003130,3130
41,2,13260919722,13274018425,13098703,13226947166,14000000,-,,,,
41,3,15311148629,15338288537,27139908,15255172277,32000000,-,,,,
42,1,15410740629,15446096888,35356259,15366004592,48000000,-,,,4099999074,-926
42,2,13310915888,13324046259,13130371,13276934388,14000000,-,,,,
42,3,15411155925,15438294814,27138889,15355174333,32000000,-,,,,
43,1,15510745314,15546103648,35358334,15466000629,48000000,-,,,4200003759,3759
43,2,13360924333,13374026796,13102463,13326940759,14000000,-,,,,
43,3,15511149111,15538290074,27140963,15455181425,32000000,-,,,,
44,1,15610741537,15646101185,35359648,15566003907,48000000,-,,,4299999982,-18
44,2,13410917740,13424047314,13129574,13376938925,14000000,-,,,,
44,3,15611156240,15638297444,27141204,15555174944,32000000,-,,,,
45,1,15710739796,15746097555,35357759,15666000740,48000000,-,,,4399998241,-1759
45,2,13460925685,13474021000,13095315,13426942018,14000000,-,,,,
45,3,15711154611,15738294870,27140259,15655181518,32000000,-,,,,
46,1,15810738907,15846100888,35361981,15765999851,48000000,-,,,4499997352,-2648
46,2,13510920055,13524049666,13129611,13476941055,14000000,-,,,,
46,3,15811153833,15838292777,27138944,15755179759,32000000,-,,,,
47,1,15910746166,15946108185,35362019,15865999703,48000000,-,,,4600004611,4611
47,2,13560917314,13574017092,13099778,13526943722,14000000,-,,,,
47,3,15911149722,15938289500,27139778,15855178759,32000000,-,,,,
48,1,16010745314,16046106074,35360760,15966007500,48000000,-,,,4700003759,3759
48,2,13610920629,13624049962,13129333,13576928814,14000000,-,,,,
48,3,16011149870,16038290333,27140463,15955175037,32000000,-,,,,
49,1,16110743796,16146104888,35361092,16066004870,48000000,-,,,4800002241,2241
49,2,13660917407,13674011870,13094463,13626944370,14000000,-,,,,
49,3,16111148166,16138286592,27138426,16055175370,32000000,-,,,,
50,1,16210744722,16246105611,35360889,16166003962,48000000,-,,,4900003167,3167
50,2,13710924907,13724054907,13130000,13676930425,14000000,-,,,,
50,3,16211148777,16238289333,27140556,16155173166,32000000,-,,,,
51,1,16310742296,16346100833,35358537,16266004574,48000000,-,,,5000000741,741
51,2,13760921962,13774022722,13100760,13726949166,14000000,-,,,,
51,3,16311156925,16338298777,27141852,16255174240,32000000,-,,,,
52,1,16410740148,16446104759,35364611,16366001629,48000000,-,,,5099998593,-1407
52,2,13810921685,13824052574,13130889,13776936574,14000000,-,,,,
52,3,16411147444,16438288425,27140981,16355182407,32000000,-,,,,
53,1,16510746500,16546094555,35348055,16466003703,48000000,-,,,5200004945,4945
53,2,13860925222,13874028240,13103018,13826945611,14000000,-,,,,
53,3,16511153648,16538293629,27139981,16455172814,32000000,-,,,,
54,1,16610747111,16646103537,35356426,16565998333,48000000,-,,,5300005556,5556
54,2,13910920722,13924050351,13129629,13876939722,14000000,-,,,,
54,3,16611153333,16638290666,27137333,16555178759,32000000,-,,,,
55,1,16710742240,16746102592,35360352,16666006277,48000000,-,,,5400000685,685
55,2,13960916500,13974012925,13096425,13926944537,14000000,-,,,,
55,3,16711149203,16738290037,27140834,16655178462,32000000,-,,,,
56,1,16810747425,16846107740,35360315,16766002259,48000000,-,,,5500005870,5870
56,2,14010925425,14024056907,13131482,13976928592,14000000,-,,,,
56,3,16811154944,16838297462,27142518,16755174259,32000000,-,,,,
57,1,16910737500,16946112148,35374648,16866008222,48000000,-,,,5599995945,-4055
57,2,14060924129,14074021981,13097852,14026949703,14000000,-,,,,
57,3,16911152925,16938291277,27138352,16855180166,32000000,-,,,,
58,1,17010741962,17046102129,35360167,16966009277,48000000,-,,,5700000407,407
58,2,14110916592,14124047851,13131259,14076937000,14000000,-,,,,
58,3,17011146092,17038287814,27141722,16955177240,32000000,-,,,,
59,1,17110743351,17146102537,35359186,17066002148,48000000,-,,,5800001796,1796
59,2,14160916703,14174017629,13100926,14126941370,14000000,-,,,,
59,3,17111146851,17138285851,27139000,17055171481,32000000,-,,,,
60,1,17210743074,17246102000,35358926,17166002518,48000000,-,,,5900001519,1519
60,2,14210919203,14224049833,13130630,14176931351,14000000,-,,,,
60,3,17211146481,17238287277,27140796,17155171833,32000000,-,,,,
61,1,17310747407,17346109037,35361630,17263986055,48000000,-,,,6000005852,5852
61,2,14260924370,14274028555,13104185,14226943333,14000000,-,,,,
61,3,17311151518,17338291814,27140296,17255171981,32000000,-,,,,
62,1,17410744018,17446105333,35361315,17366008777,48000000,-,,,6100002463,2463
62,2,14310919277,14324048981,13129704,14276939018,14000000,-,,,,
62,3,17411148351,17438287555,27139204,17355176962,32000000,-,,,,
63,1,17510737222,17546094870,35357648,17466004259,48000000,-,,,6199995667,-4333
63,2,14360924481,14374022648,13098167,14326942666,14000000,-,,,,
63,3,17511152648,17538291148,27138500,17455173925,32000000,-,,,,
64,1,17610741129,17646101148,35360019,17565998111,48000000,-,,,6299999574,-426
64,2,14410918555,14424047870,13129315,14376938962,14000000,-,,,,
64,3,17611156407,17638296574,27140167,17555177870,32000000,-,,,,
65,1,17710746722,17746107685,35360963,17663985092,48000000,-,,,6400005167,5167
65,2,14460924129,14474021537,13097408,14426942296,14000000,-,,,,
65,3,17711150740,17738291166,27140426,17655181462,32000000,-,,,,
66,1,17810740648,17846099148,35358500,17763990666,48000000,-,,,6499999093,-907
66,2,14510925481,14524059555,13134074,14476939018,14000000,-,,,,
66,3,17811156462,17838296296,27139834,17755176185,32000000,-,,,,
67,1,17910742129,17946102629,35360500,17866001574,48000000,-,,,6600000574,574
67,2,14560919740,14574023018,13103278,14526951722,14000000,-,,,,
67,3,17911146111,17938285870,27139759,17855181537,32000000,-,,,,
68,1,18010742148,18046106222,35364074,17966002555,48000000,-,,,6700000593,593
68,2,14610920351,14624048981,13128630,14576934277,14000000,-,,,,
68,3,18011156740,18038296203,27139463,17955171740,32000000,-,,,,
69,1,18110746185,18146104925,35358740,18066003685,48000000,-,,,6800004630,4630
69,2,14660925314,14674022333,13097019,14626943740,14000000,-,,,,
69,3,18111150185,18138291018,27140833,18055181796,32000000,-,,,,
70,1,18210742592,18246104092,35361500,18163989240,48000000,-,,,6900001037,1037
70,2,14710920907,14724049648,13128741,14676937666,14000000,-,,,,
70,3,18211147648,18238287703,27140055,18155175722,32000000,-,,,,
71,1,18310746277,18346109074,35362797,18266003740,48000000,-,,,7000004722,4722
71,2,14760917018,14774015055,13098037,14726944148,14000000,-,,,,
71,3,18311150537,18338288648,27138111,18255173129,32000000,-,,,,
72,1,18410742259,18446104611,35362352,18366006851,48000000,-,,,7100000704,704
72,2,14810920777,14824051148,13130371,14776931740,14000000,-,,,,
72,3,18411146629,18438287444,27140815,18355175722,32000000,-,,,,
73,1,18510740166,18546098074,35357908,18466003944,48000000,-,,,7199998611,-1389
73,2,14860918018,14874015944,13097926,14826945074,14000000,-,,,,
73,3,18511154888,18538296666,27141778,18455171888,32000000,-,,,,
74,1,18610740925,18646097074,35356149,18565999962,48000000,-,,,7299999370,-630
74,2,14910919685,14924049185,13129500,14876929925,14000000,-,,,,
74,3,18611155481,18638293296,27137815,18555180185,32000000,-,,,,
75,1,18710739222,18746100185,35360963,18665999703,48000000,-,,,7399997667,-2333
75,2,14960922370,14974024333,13101963,14926943555,14000000,-,,,,
75,3,18711154555,18738294518,27139963,18655180648,32000000,-,,,,
76,1,18810744444,18846105481,35361037,18766001018,48000000,-,,,7500002889,2889
76,2,15010921537,15024050037,13128500,14976937166,14000000,-,,,,
76,3,18811147981,18838285444,27137463,18755179648,32000000,-,,,,
77,1,18910746814,18946110981,35364167,18866004925,48000000,-,,,7600005259,5259
77,2,15060921000,15074019851,13098851,15026944759,14000000,-,,,,
77,3,18911150685,18938292796,27142111,18855173277,32000000,-,,,,
78,1,19010741574,19046098703,35357129,18966008925,48000000,-,,,7700000019,19
78,2,15110925814,15124054333,13128519,15076935629,14000000,-,,,,
78,3,19011156166,19038296351,27140185,18955176574,32000000,-,,,,
79,1,19110737740,19146108870,35371130,19066001222,48000000,-,,,7799996185,-3815
79,2,15160920944,15174020481,13099537,15126949203,14000000,-,,,,
79,3,19111152425,19138292777,27140352,19055181351,32000000,-,,,,
80,1,19210743222,19246104018,35360796,19166008777,48000000,-,,,7900001667,1667
80,2,15210920314,15224047833,13127519,15176935740,14000000,-,,,,
80,3,19211146962,19238287703,27140741,19155177759,32000000,-,,,,
81,1,19310740296,19346099407,35359111,19266004185,48000000,-,,,7999998741,-1259
81,2,15260925129,15274024944,13099815,15226943166,14000000,-,,,,
81,3,19311156425,19338295574,27139149,19255172092,32000000,-,,,,
82,1,19410737962,19446108296,35370334,19366002333,48000000,-,,,8099996407,-3593
82,2,15310921907,15324050981,13129074,15276939907,14000000,-,,,,
82,3,19411152185,19438292870,27140685,19355181722,32000000,-,,,,
83,1,19510743907,19546103925,35360018,19466008259,48000000,-,,,8200002352,2352
83,2,15360919314,15374016092,13096778,15326944944,14000000,-,,,,
83,3,19511148425,19538287462,27139037,19455177407,32000000,-,,,,
84,1,19610744314,19646106925,35362611,19566004296,48000000,-,,,8300002759,2759
84,2,15410917574,15424046370,13128796,15376931240,14000000,-,,,,
84,3,19611147907,19638289944,27142037,19555174148,32000000,-,,,,
85,1,19710738111,19746096648,35358537,19666005240,48000000,-,,,8399996556,-3444
85,2,15460923962,15474023444,13099482,15426940722,14000000,-,,,,
85,3,19711153611,19738291796,27138185,19655173740,32000000,-,,,,
86,1,19810738592,19846096388,35357796,19765998666,48000000,-,,,8499997037,-2963
