Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
0,1,11210800333,11287327574,76527241,11295438574,85000000,-
0,2,11211109166,11253300833,42191667,11273884055,63000000,-
0,3,11211223111,11263459037,52235926,11268129592,57000000,-
1,1,11310891888,11387271944,76380056,11299406629,85000000,-
1,2,11311134000,11353253703,42119703,11278217555,63000000,-
1,3,11311252055,11359353314,48101259,11317424629,57000000,-
2,1,11410885740,11487276888,76391148,11398945259,85000000,-
2,2,11411138259,11453253814,42115555,11378178777,63000000,-
2,3,11411244462,11459357814,48113352,11410273500,57000000,-
3,1,11510887018,11587268277,76381259,11498927037,85000000,-
3,2,11511128481,11553245333,42116852,11478180981,63000000,-
3,3,11511245888,11559347888,48102000,11510274259,57000000,-
4,1,11610888203,11687270703,76382500,11598939925,85000000,-
4,2,11611130592,11653247500,42116908,11578172907,63000000,-
4,3,11611247759,11659353796,48106037,11610265462,57000000,-
5,1,11710883074,11787274148,76391074,11698939888,85000000,-
5,2,11711135759,11753251740,42115981,11678174944,63000000,-
5,3,11711242240,11759353666,48111426,11710267259,57000000,-
6,1,11810887555,11887266537,76378982,11798936685,85000000,-
6,2,11811129481,11853245944,42116463,11778178722,63000000,-
6,3,11811246925,11859351000,48104075,11810271074,57000000,-
7,1,11910883981,11987273981,76390000,11898928574,85000000,-
7,2,11911136370,11953257537,42121167,11878173000,63000000,-
7,3,11911242296,11959354351,48112055,11910267500,57000000,-
8,1,12010884648,12087275796,76391148,11998937462,85000000,-
8,2,12011137629,12053255851,42118222,11978179574,63000000,-
8,3,12011243611,12059357462,48113851,12010277259,57000000,-
9,1,12110889722,12187269759,76380037,12098936518,85000000,-
9,2,12111131481,12153247888,42116407,12078179537,63000000,-
9,3,12111248796,12159352407,48103611,12110275981,57000000,-
10,1,12210887500,12287267611,76380111,12198942796,85000000,-
10,2,12211130611,12253246833,42116222,12178174648,63000000,-
10,3,12211247870,12259352703,48104833,12210267574,57000000,-
11,1,12310890796,12387270777,76379981,12298927907,85000000,-
11,2,12311132500,12353248314,42115814,12278173574,63000000,-
11,3,12311250055,12359353500,48103445,12310268166,57000000,-
12,1,12410890907,12487271648,76380741,12398943666,85000000,-
12,2,12411132592,12453249500,42116908,12378175000,63000000,-
12,3,12411249777,12459352296,48102519,12410268203,57000000,-
13,1,12510889351,12587268185,76378834,12498943740,85000000,-
13,2,12511132000,12553247518,42115518,12478175074,63000000,-
13,3,12511249222,12559351796,48102574,12510269351,57000000,-
14,1,12610888833,12687269092,76380259,12598930703,85000000,-
14,2,12611130648,12653247370,42116722,12578173481,63000000,-
14,3,12611247833,12659351314,48103481,12610268592,57000000,-
15,1,12710888777,12787268314,76379537,12698941444,85000000,-
15,2,12711131148,12753248444,42117296,12678174148,63000000,-
15,3,12711248351,12759351333,48102982,12710267111,57000000,-
16,1,12810890870,12887271574,76380704,12798930351,85000000,-
16,2,12811133092,12853250259,42117167,12778173888,63000000,-
16,3,12811250351,12859354092,48103741,12810269592,57000000,-
17,1,12910889888,12987270425,76380537,12898932000,85000000,-
17,2,12911132055,12953248222,42116167,12878175740,63000000,-
17,3,12911249351,12959352407,48103056,12910271388,57000000,-
18,1,13010890796,13087270074,76379278,12998942796,85000000,-
18,2,13011133018,13053249648,42116630,12978174351,63000000,-
18,3,13011250277,13059352462,48102185,13010267981,57000000,-
19,1,13110882407,13187272148,76389741,13098932425,85000000,-
19,2,13111135796,13153252629,42116833,13078176000,63000000,-
19,3,13111241870,13159354185,48112315,13110270740,57000000,-
20,1,13210881629,13287277055,76395426,13198934962,85000000,-
20,2,13211134148,13253252444,42118296,13178177092,63000000,-
