Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
31,2,14311029055,14464544888,153515833,14352445129,101000000,-
31,3,14311305981,14353427462,42121481,14278344111,63000000,-
32,1,14410890648,14478537111,67646463,14398947314,85000000,-
32,2,14411028407,14564524574,153496167,14455553148,101000000,-
32,3,14411305000,14453430203,42125203,14378348425,63000000,-
33,1,14510887685,14578516574,67628889,14498941444,85000000,-
33,2,14511036611,14664538907,153502296,14554563685,101000000,-
33,3,14511302240,14553425000,42122760,14478350000,63000000,-
34,1,14610885870,14678530981,67645111,14598943796,85000000,-
34,2,14611034444,14764526259,153491815,14654623518,101000000,-
34,3,14611311000,14653432666,42121666,14578345981,63000000,-
35,1,14710887796,14778519703,67631907,14698942185,85000000,-
35,2,14711036629,14859806500,148769871,14754685703,101000000,-
35,3,14711301962,14753425203,42123241,14678354407,63000000,-
36,1,14810891129,14873798277,62907148,14798944333,85000000,-
36,2,14811029018,14960563185,149534167,14854745666,101000000,-
36,3,14811305666,14853429148,42123482,14778345907,63000000,-
37,1,14910893203,14976494962,65601759,14898947240,85000000,-
37,2,14911030907,15081538537,170507630,14952447611,101000000,-
37,3,14911307296,14953431259,42123963,14878348833,63000000,-
38,1,15010886870,15078521259,67634389,14998947148,85000000,-
38,2,15011035648,15164546333,153510685,15055554166,101000000,-
38,3,15011300925,15053428629,42127704,14978351000,63000000,-
39,1,15110895148,15178538148,67643000,15098942703,85000000,-
39,2,15111033111,15259560685,148527574,15154514055,101000000,-
39,3,15111310259,15153433148,42122889,15078344722,63000000,-
40,1,15210887296,15273555685,62668389,15198938851,85000000,-
40,2,15211036000,15360569296,149533296,15254499888,101000000,-
40,3,15211301314,15253427648,42126334,15178353870,63000000,-
41,1,15310896259,15376499351,65603092,15298943592,85000000,-
41,2,15311034000,15479553425,168519425,15352445740,101000000,-
41,3,15311310611,15353431537,42120926,15278345296,63000000,-
42,1,15410892444,15473528129,62635685,15398950111,85000000,-
42,2,15411030425,15560560851,149530426,15455560351,101000000,-
42,3,15411307537,15453429907,42122370,15378354166,63000000,-
43,1,15510890888,15576492185,65601297,15498942518,85000000,-
43,2,15511028574,15664538574,153510000,15552448037,101000000,-
43,3,15511305574,15553427759,42122185,15478351351,63000000,-
44,1,15610891296,15678532129,67640833,15598947481,85000000,-
44,2,15611029537,15759604240,148574703,15655551648,101000000,-
44,3,15611306296,15653432277,42125981,15578347777,63000000,-
45,1,15710890629,15773591888,62701259,15698944259,85000000,-
45,2,15711028629,15870611648,159583019,15754538944,101000000,-
45,3,15711305555,15753433055,42127500,15678350925,63000000,-
46,1,15810890555,15870601981,59711426,15798947166,85000000,-
46,2,15811028444,15976594444,165566000,15854594925,101000000,-
46,3,15811305092,15853427296,42122204,15778349870,63000000,-
47,1,15910893648,15970579370,59685722,15898944722,85000000,-
47,2,15911031759,16059450777,148419018,15951609574,101000000,-
47,3,15911308796,15953437277,42128481,15878348333,63000000,-
48,1,16010888388,16070642685,59754297,15998947203,85000000,-
48,2,16011037148,16159463296,148426148,16112033944,101000000,-
48,3,16011302870,16053422833,42119963,15978353074,63000000,-
49,1,16110895574,16169530907,58635333,16098944777,85000000,-
