Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
0,1,11210581388,11256324055,45742667,11273228203,63000000,-
0,2,11210749925,11260486796,49736871,11267662703,57000000,-
0,3,11210849425,11263098833,52249408,11261769722,51000000,-
1,1,11310667796,11355811055,45143259,11280232722,63000000,-
1,2,11310781074,11358845740,48064666,11314982277,57000000,-
1,3,11310876981,11363060444,52183463,11288070500,51000000,-
2,1,11410669111,11455810962,45141851,11379722018,63000000,-
2,2,11410771666,11458844148,48072482,11414828777,57000000,-
2,3,11410878166,11463053500,52175334,11388032592,51000000,-
3,1,11510665055,11555807629,45142574,11479722685,63000000,-
3,2,11510778148,11558842074,48063926,11567774944,57000000,-
3,3,11510873666,11563047574,52173908,11488026314,51000000,-
4,1,11610664370,11655807296,45142926,11579718814,63000000,-
4,2,11610777500,11658857351,48079851,11614824888,57000000,-
4,3,11610872962,11663047388,52174426,11588019685,51000000,-
5,1,11710664870,11755807592,45142722,11679717740,63000000,-
5,2,11710778092,11758857500,48079408,11714823296,57000000,-
5,3,11710873370,11763048166,52174796,11688019796,51000000,-
6,1,11810665907,11855807925,45142018,11779718333,63000000,-
6,2,11810779185,11858857611,48078426,11814823944,57000000,-
6,3,11810874518,11863048814,52174296,11788020962,51000000,-
7,1,11910667703,11955811296,45143593,11879719388,63000000,-
7,2,11910780833,11958846055,48065222,11914825296,57000000,-
7,3,11910876518,11963059407,52182889,11888021555,51000000,-
8,1,12010665166,12055795981,45130815,11979721222,63000000,-
8,2,12010778611,12058850240,48071629,12014827518,57000000,-
8,3,12010873907,12063059333,52185426,11988031148,51000000,-
9,1,12110662055,12155803555,45141500,12079706888,63000000,-
9,2,12110775055,12158838574,48063519,12114813611,57000000,-
9,3,12110870907,12163047981,52177074,12088030851,51000000,-
10,1,12210660333,12255800222,45139889,12179716074,63000000,-
10,2,12210773518,12258851537,48078019,12214821111,57000000,-
10,3,12210880314,12263057222,52176908,12188020907,51000000,-
11,1,12310666037,12355808740,45142703,12279713462,63000000,-
11,2,12310779277,12358858537,48079260,12314817611,57000000,-
11,3,12310874925,12363058537,52183612,12288029685,51000000,-
12,1,12410667018,12455808870,45141852,12379719703,63000000,-
12,2,12410780148,12458844000,48063852,12414824870,57000000,-
12,3,12410875592,12463049055,52173463,12388030814,51000000,-
13,1,12510666370,12555807166,45140796,12479720481,63000000,-
13,2,12510779388,12558857888,48078500,12514825814,57000000,-
13,3,12510874796,12563047722,52172926,12488021925,51000000,-
14,1,12610667018,12655808222,45141204,12579719333,63000000,-
14,2,12610779981,12658842648,48062667,12614824592,57000000,-
14,3,12610875129,12663068037,52192908,12588020685,51000000,-
15,1,12710663611,12755804333,45140722,12679720500,63000000,-
15,2,12710776833,12758840648,48063815,12714825981,57000000,-
15,3,12710872222,12763046870,52174648,12688039111,51000000,-
16,1,12810668481,12855797518,45129037,12779716481,63000000,-
16,2,12810782203,12858852962,48070759,12814821888,57000000,-
16,3,12810877370,12863052111,52174741,12788018777,51000000,-
17,1,12910660907,12955801259,45140352,12879709333,63000000,-
17,2,12910774037,12958839166,48065129,12914814944,57000000,-
17,3,12910880833,12963058407,52177574,12888023574,51000000,-
18,1,13010665222,13055807333,45142111,12979714666,63000000,-
18,2,13010778425,13058856462,48078037,13014818296,57000000,-
18,3,13010874055,13063048314,52174259,12988030777,51000000,-
19,1,13110669796,13155812037,45142241,13079719037,63000000,-
19,2,13110772333,13158845018,48072685,13114822629,57000000,-
19,3,13110878462,13163053444,52174982,13088021277,51000000,-
20,1,13210663648,13255805277,45141629,13179723425,63000000,-
20,2,13210776629,13258841703,48065074,13267773407,57000000,-
20,3,13210872037,13263045351,52173314,13188026462,51000000,-
21,1,13310669500,13355812296,45142796,13279716962,63000000,-
21,2,13310771981,13358843277,48071296,13314820629,57000000,-
21,3,13310878018,13363066111,52188093,13288018259,51000000,-
22,1,13410666055,13455808462,45142407,13379722777,63000000,-
22,2,13410779055,13458857333,48078278,13467775796,57000000,-
22,3,13410874407,13463047944,52173537,13388036814,51000000,-
23,1,13510664685,13555807722,45143037,13479719611,63000000,-
23,2,13510777814,13558856833,48079019,13514823462,57000000,-
23,3,13510873240,13563046425,52173185,13488020814,51000000,-
24,1,13610665537,13655807166,45141629,13579718092,63000000,-
24,2,13610778777,13658843111,48064334,13614822888,57000000,-
24,3,13610874185,13663048518,52174333,13588019444,51000000,-
25,1,13710663370,13755804703,45141333,13679719629,63000000,-
25,2,13710776518,13758853351,48076833,13714822129,57000000,-
25,3,13710871851,13763054018,52182167,13688021388,51000000,-
26,1,13810661907,13855804148,45142241,13779716703,63000000,-
26,2,13810775055,13858852203,48077148,13814820277,57000000,-
26,3,13810870462,13863043444,52172982,13788026851,51000000,-
27,1,13910660592,13955800537,45139945,13879715481,63000000,-
27,2,13910773870,13958850462,48076592,13914819611,57000000,-
27,3,13910880537,13963055500,52174963,13888016777,51000000,-
28,1,14010670259,14055811888,45141629,13979714166,63000000,-
28,2,14010772722,14058844111,48071389,14014817555,57000000,-
28,3,14010879296,14063074259,52194963,13988028481,51000000,-
29,1,14110667444,14155809111,45141667,14079723796,63000000,-
29,2,14110780444,14158859074,48078630,14167777203,57000000,-
29,3,14110875777,14163049018,52173241,14088047407,51000000,-
30,1,14210670111,14255798703,45128592,14179720981,63000000,-
30,2,14210773222,14258849777,48076555,14214825333,57000000,-
30,3,14210879592,14263062000,52182408,14188021888,51000000,-
31,1,14310669018,14355811944,45142926,14279711944,63000000,-
31,2,14310771685,14358843240,48071555,14314815962,57000000,-
31,3,14310877833,14363054574,52176741,14288034629,51000000,-
32,1,14410668481,14455811444,45142963,14379722537,63000000,-
32,2,14410781537,14458847074,48065537,14467778351,57000000,-
32,3,14410877000,14463054740,52177740,14388026259,51000000,-
33,1,14510660407,14555800648,45140241,14479722092,63000000,-
33,2,14510773500,14558836907,48063407,14514827055,57000000,-
33,3,14510880055,14563055722,52175667,14488026666,51000000,-
34,1,14610665685,14655808129,45142444,14579713851,63000000,-
34,2,14610778796,14658842277,48063481,14614817796,57000000,-
34,3,14610874148,14663048314,52174166,14588028574,51000000,-
35,1,14710665574,14755806962,45141388,14679719259,63000000,-
35,2,14710778611,14758841870,48063259,14714824759,57000000,-
35,3,14710873722,14763047925,52174203,14688021333,51000000,-
