Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline
34,1,14610805759,14679169222,68363463,14598837907,85000000
34,2,12910957666,12960077259,49119593,12922974462,58000000
34,3,14611097814,14775021111,163923297,14661083388,101000000
35,1,14710797259,14779173407,68376148,14698845203,85000000
35,2,12960951777,13010063648,49111871,12972981129,58000000
35,3,14711099574,14875013814,163914240,14761080166,101000000
36,1,14810798370,14879170925,68372555,14798848907,85000000
36,2,13010959833,13060079351,49119518,13022974666,58000000
36,3,14811089425,14975011092,163921667,14861090351,101000000
37,1,14910805814,14979174851,68369037,14898837481,85000000
37,2,13060953222,13110063240,49110018,13072982759,58000000
37,3,14911097111,15075012870,163915759,14961083185,101000000
38,1,15010802333,15079168333,68366000,14998854685,85000000
38,2,13110959425,13160079277,49119852,13122976574,58000000
38,3,15011094629,15175015500,163920871,15061080222,101000000
39,1,15110799814,15179171074,68371260,15098852351,85000000
39,2,13160954000,13210069666,49115666,13172982555,58000000
39,3,15111091388,15261065555,149974167,15161070981,101000000
40,1,15210797129,15279172296,68375167,15198849203,85000000
40,2,13210956166,13260074037,49117871,13222976722,58000000
40,3,15211099722,15375013148,163913426,15261085148,101000000
41,1,15310801555,15379170240,68368685,15298836444,85000000
41,2,13260959518,13310072685,49113167,13272979148,58000000
41,3,15311092888,15475011851,163918963,15360176333,101000000
42,1,15410796518,15479166777,68370259,15398853370,85000000
42,2,13310955759,13360076796,49121037,13322981444,58000000
42,3,15411099166,15575014500,163915334,15461071703,101000000
43,1,15510799481,15579171222,68371741,15498848055,85000000
43,2,13360950944,13410071944,49121000,13372979351,58000000
43,3,15511090944,15661072185,149981241,15561081129,101000000
44,1,15610805925,15679172925,68367000,15598848592,85000000
44,2,13410954796,13460074370,49119574,13422973685,58000000
44,3,15611097611,15775014314,163916703,15661084259,101000000
45,1,15710799703,15779175148,68375445,15698855018,85000000
45,2,13460950944,13510062537,49111593,13472977907,58000000
45,3,15711090629,15875020648,163930019,15760176759,101000000
46,1,15810805574,15879172240,68366666,15798851388,85000000
46,2,13510958185,13560077851,49119666,13522972925,58000000
46,3,15811096703,15975014722,163918019,15861083981,101000000
47,1,15910798592,15979170814,68372222,15898857388,85000000
47,2,13560952277,13610061777,49109500,13572981518,58000000
47,3,15911089666,16075017740,163928074,15961078092,101000000
48,1,16010802870,16079170981,68368111,15998837833,85000000
48,2,13610958000,13660086185,49128185,13622975055,58000000
48,3,16011094185,16175018814,163924629,16061084000,101000000
49,1,16110803407,16179169111,68365704,16098841851,85000000
49,2,13660949611,13710063074,49113463,13672981592,58000000
49,3,16111094777,16275017907,163923130,16161074555,101000000
50,1,16210802907,16279168759,68365852,16198855037,85000000
50,2,13710957055,13760074925,49117870,13722971796,58000000
50,3,16211094203,16375015351,163921148,16261077333,101000000
51,1,16310803425,16379171518,68368093,16298854462,85000000
51,2,13760950481,13810065018,49114537,13772980333,58000000
51,3,16311095166,16475016462,163921296,16361087759,101000000
52,1,16410802611,16479173185,68370574,16398855259,85000000
52,2,13810960518,13860078907,49118389,13822972962,58000000
52,3,16411094351,16575015981,163921630,16461083555,101000000
53,1,16510799148,16579169462,68370314,16498841777,85000000
53,2,13860952537,13910067296,49114759,13872984000,58000000
53,3,16511090740,16675011314,163920574,16561074777,101000000
54,1,16610801333,16679176388,68375055,16598850925,85000000
54,2,13910950666,13960068018,49117352,13922974666,58000000
54,3,16611092648,16775015833,163923185,16661085648,101000000
55,1,16710799203,16779166574,68367371,16698852722,85000000
55,2,13960953777,14010065333,49111556,13972973851,58000000
55,3,16711090407,16875021129,163930722,16761071129,101000000
56,1,16810802333,16879173555,68371222,16798847944,85000000
56,2,14010950611,14060069240,49118629,14022976129,58000000
56,3,16811093981,16975015777,163921796,16861084018,101000000
57,1,16910805740,16979167018,68361278,16898853981,85000000
57,2,14060956055,14110066907,49110852,14072976148,58000000
57,3,16911097277,17075014092,163916815,16961077388,101000000
58,1,17010801481,17079170203,68368722,16998857074,85000000
58,2,14110952481,14160074148,49121667,14122978092,58000000
58,3,17011092796,17161063592,149970796,17061075240,101000000
59,1,17110805833,17179165185,68359352,17098853129,85000000
59,2,14160960240,14210072944,49112704,14172978277,58000000
59,3,17111097537,17261064462,149966925,17161073555,101000000
60,1,17210800333,17279170277,68369944,17198845425,85000000
60,2,14210957259,14260079055,49121796,14222982537,58000000
60,3,17211091740,17375011592,163919852,17260169203,101000000
61,1,17310797944,17379165222,68367278,17298852000,85000000
61,2,14260953722,14310066907,49113185,14272981462,58000000
61,3,17311089388,17461066092,149976704,17360174314,101000000
62,1,17410795981,17479175055,68379074,17398849685,85000000
62,2,14310952185,14360080537,49128352,14322976648,58000000
62,3,17411098185,17575014629,163916444,17461081518,101000000
63,1,17510797296,17579170944,68373648,17498847222,85000000
63,2,14360952240,14410059314,49107074,14372975370,58000000
63,3,17511099629,17661063314,149963685,17560179055,101000000
64,1,17610802555,17679171537,68368982,17598836351,85000000
64,2,14410954555,14460078722,49124167,14422977259,58000000
64,3,17611094203,17761064722,149970519,17661082592,101000000
65,1,17710805907,17779174074,68368167,17698854000,85000000
65,2,14460954611,14510074648,49120037,14472981055,58000000
65,3,17711097055,17875017166,163920111,17760174611,101000000
66,1,17810800277,17879169777,68369500,17798850481,85000000
66,2,14510957685,14560077722,49120037,14522976703,58000000
66,3,17811091777,17975015074,163923297,17860178092,101000000
67,1,17910801333,17979168259,68366926,17898851722,85000000
67,2,14560952018,14610071870,49119852,14572981000,58000000
67,3,17911092388,18075015185,163922797,17961074351,101000000
